"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"ForgeryFlyerInnerFront","No questions asked!","Zadne otazky!"
"ForgeryFlyerInnerFront","Fast turnaround!","Rychle dodani!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","Podminky na zadni strane"
"ForgeryFlyerInnerBack","PRICING (EACH)","CENY (KAZDY)"
"ForgeryFlyerInnerBack","Passport *","Pas *"
"ForgeryFlyerInnerBack","Entry Ticket","Vstupni ticket"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Klient musi mit existujici Obristiansky pas pro upraveni"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Servis s hranicemi Arstotzka/Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Ptejte se po Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Podváha?Slabost?Únava?"
"GymFlyerInner","JOIN BEST GYM!","JOIN BEST GYM!"
"GymFlyerInner","GET BIG TOWN","GET BIG TOWN"
"GymFlyerInner","East Grestin","East Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","TENTO VSTUPUJICI NEMEL DOKUMENTY"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Chcete-li pokracovat, pouzivejte INSPECT mod na overeni informaci"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Zkontrolujte si druhou stranu z dnesnich instrukci."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA IDENTITY CARD"
"IdCardInner","DOB","DOB"
"IdCardInner","HT.","HT."
"IdCardInner","WT.","WT."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","M.O.A. IDENTIFIKACNÍ ZÁZNAM"
"IdentityRecordInner","NAME:","JMÉNO:"
"IdentityRecordInner","ALIAS:","PREZDÍVKA:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Applicant's fingerprints and claimed name/alias must match this record."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","DOPLNEK<br>TOTOZNOSTI"
"IdSupplementInner","HT","HT"
"IdSupplementInner","WT","WT"
"IdSupplementInner","DESCRIPTION","POPIS"
"IdSupplementInner","THUMB","PALEC"
"IdSupplementInner","Keep on person","Noste u sebe"
"IdSupplementInner","EXP.","EXP."
"LocketInnerOpen","To Sergiu from your Elisa","Pro Sergia od tvé Elisy"
"LocketInnerOpen","I Love You Always","I Love You Always"
"LoveSongInner1","YOU","TY"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","JSI ZHAVÝ JAKO OHEN"
"LoveSongInner2","you","ty"
"LoveSongInner2","OBJECT OF DESIRE","OBJEKT TOUHY"
"LoveSongInner3","YOU<br>(AGAIN)","TY<br>(ZNOVU)"
"LoveSongInner3","WRAP MY HEART IN WIRE","ZABAL ME SRDCE DO DRÁTU"
"LoveSongInner4","ApPROVED","POTVRZENO"
"LoveSongInner4","APPROVE MY VISA","POTVRD MOJI VÍZUM"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerAntegria","DOB.","DOB."
"PassportInnerAntegria","SEX","SEX"
"PassportInnerAntegria","ISS.","ISS."
"PassportInnerAntegria","EXP.","EXP."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerArstotzka","DOB.","DOB."
"PassportInnerArstotzka","SEX","SEX"
"PassportInnerArstotzka","ISS.","ISS."
"PassportInnerArstotzka","EXP.","EXP."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerImpor","DOB.","DOB."
"PassportInnerImpor","SEX","SEX"
"PassportInnerImpor","ISS.","ISS."
"PassportInnerImpor","EXP.","EXP."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerKolechia","DOB.","DOB."
"PassportInnerKolechia","SEX","SEX"
"PassportInnerKolechia","ISS.","ISS."
"PassportInnerKolechia","EXP.","EXP."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerObristan","DOB.","DOB."
"PassportInnerObristan","SEX","SEX"
"PassportInnerObristan","ISS.","ISS."
"PassportInnerObristan","EXP.","EXP."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerRepublia","DOB.","DOB."
"PassportInnerRepublia","SEX","SEX"
"PassportInnerRepublia","ISS.","ISS."
"PassportInnerRepublia","EXP.","EXP."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","VLOZTE VÍZUM"
"PassportInnerUnitedFed","DOB.","DOB."
"PassportInnerUnitedFed","SEX","SEX"
"PassportInnerUnitedFed","ISS.","ISS."
"PassportInnerUnitedFed","EXP.","EXP."
"PassportInnerUnitedFed","UNITED FEDERATION","UNITED FEDERATION"
"PlaqueOneInner","Ministry of Admission","Ministr Administraci"
"PlaqueOneInner","RECOGNITION","DIPLOM"
"PlaqueOneInner","FOR","ZA"
"PlaqueOneInner","HANG ON WALL","POVES NA ZED"
"PlaqueTwoInner","Ministry of Admission","Ministr administraci"
"PlaqueTwoInner","RECOGNITION","DIPLOM"
"PlaqueTwoInner","FOR","ZA"
"PlaqueTwoInner","HANG ON WALL","POVES NA ZED"
"PoisonInnerBack","OPEN","OTEVRIT"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","NEDOTÝKAT SE PRÁSKU"
"PoisonInnerOpen1","CLOSE","ZAVRIT"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","ROZETRETE PRÁSEK PO PASU"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","ZATLACTE"
"PoisonInnerOpen2","CLOSE","ZAVRIT"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTR INFORMACI"
"PoliceBadgeInner","Office of Investigation","Vysetrovaci Kancelár"
"PoliceBadgeInner","East Grestin Division","East Grestin Division"
"PoliceBadgeInner","Special Investigator","Special Investigator"
"PoliceBadgeInner","MOI","MOI"
"PressPassInner","INTERNATIONAL","MEZINARODNI"
"PressPassInner","PRESS","PRESS"
"PressPassInner","IDENTIFICATION","IDENTIFIKACE"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","POVOLENI MUSI POVOLIT PRISTUP<br> DO ARSTOTZKY"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","<span>ISS.</span> POLICKO MUSI BYT PLATNE"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMENT MUSI<br>MIT PECET"
"RulesInnerHome","Arstotzkan","Arstotzkan"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministr<span></span>Administraci"
"RulesInnerHome","RULES","PREDPISY"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","PRAVIDLA"
"RulesInnerHome","for Inspectors","pro Inspektory"
"RulesInnerHome","CONTENTS","OBSAH"
"RulesInnerHome","PROPERTY OF","MAJETEK"
"RulesInnerHome","M.O.A","M.O.A"
"RulesInnerBasic","RULES","PRAVIDLA"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATICKA PECET"
"RulesInnerRegion","PASSPORT","PAS"
"RulesInnerRegion","ISSUING CITIES","PLATNÁ MESTA"
"RulesInnerRegionArstotzka","DISTRICTS","OKRESY"
"RulesInnerRegionArstotzka","PASSPORT","PAS"
"RulesInnerRegionArstotzka","ISSUING CITIES","PLATNÁ MESTA"
"RulesInnerBooth","INSPECTOR'S BOOTH","INSPEKTOROVA KABINA"
"RulesInnerBooth","Shutter","Okenice"
"RulesInnerBooth","Counter","Prepazka"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Pravidla<br>Dialog<br>Ulozeni novin<br>Cas &amp; Datum"
"RulesInnerBooth","UPGRADES","VYLEPSENI"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","NEMATE ZADNE INSTALOVANE<br>UPGRADY"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFICIALNE UZNANE"
"RulesInnerDocs","DOCUMENTS","DOKUMENTY"
"RulesInnerDocs","CONTENTS","OBSAH"
"RulesInnerEntryPermit","ENTRY PERMIT","POVOLENI KE VSTUPU"
"RulesInnerEntryPermit","VALID SEALS","PLATNA PECET"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKAN<br>ID KARTA"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","VYDANY VSEM ARSTOTZKAN OBYVATELUM"
"RulesInnerIdCard","DISTRICTS","OBSAH"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","DODATEK<br>TOTOZNOSTI"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","VYDAVA SE VSEM KVALIFIKOVANIM CIZINCUM"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","PRO OVERENI FYZICKEHO VZHLEDU CIZINCE"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","OVERENI OTISKU PRSTU JEN POKUD JE DOSTUPNY ZAZNAM PRSTU"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","PLATNOST DOKUMENTU - OVERTE PLATNOST POZORNE"
"RulesInnerAccessPermit","ACCESS PERMIT","UMOZNENI PRISTUPU"
"RulesInnerAccessPermit","VALID SEALS","PLATNÁ PECET"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","TENTO DOKUMENT NAHRADI POVOLENI KE VSTUPU A DODATEK TOTOZNOSTI"
"RulesInnerWorkPermit","WORK PASS","PRACOVNI PAS"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","VYDAVA SE VSEM KVALIFIKOVANIM CIVILISTUM"
"RulesInnerWorkPermit","VALID SEALS","PLATNA PECET"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATICKA"
"RulesInnerDiplomaticAuth","AUTHORIZATION","AUTORIZACE"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","OVERTE PLATNOST PECETE"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","POVOLENI K<br>AZYLU"
"RulesInnerAsylumGrant","VALID SEALS","PLATNA PECET"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","VZDY SI OVERTE OTISKY PRSTU"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","CERTIFIKAT K VAKCINE"
"RulesInnerVaccineCert","MINISTRY","MINISTR"
"RulesInnerVaccineCert","OF","."
"RulesInnerVaccineCert","HEALTH","ZDRAVOTNICTVI"
"RulesInnerVaccineCert","REGULATION DOCUMENT","REGULACNI DOKUMENT"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","OCKOVANI PROTI DETSKE OBRNE PRO VSECHNY UCASTNIKY"
"RulesInnerVaccineCert","NO EXCEPTIONS","ZADNE VYJIMKY"
"RulesInnerConfiscation","PASSPORT CONFISCATION","ZABAVENÍ PASU"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","VLOZTE PAS DO SUPLIKU"
"RulesInnerConfiscation","POLICY","POLITIKA"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","CESTOVNI PAS MUSI BYT ZABAVEN PRED ZADRZENÍM"
"RulesInnerConfiscation","MOI","MOI"
"RulesInnerLast","PROPERTY OF","MAJETEK"
"RulesInnerLast","M.O.A.","M.O.A."
"RulesInnerLast","GLORY TO ARSTOTZKA","SLAVA ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzkan"
"RulesInnerLast","Ministry of Admission","Ministr Administrace"
"RulesInnerLast","Rules &amp; Regulations","predpisi &amp; Pravidla"
"RulesInnerLast","for Inspectors","pro Inspektory"
"RulesInnerLast","1982-1983 Edition","1982-1983 EDICE"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","ZÁKAZ SÍRENÍ POD PRISNOU POKUTOU"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","DOCS"
"RulesTabDocsR","DOCS","DOCS"
"RulesTabMapL","MAP","MAPA"
"RulesTabMapR","MAP","MAPA"
"RulesTabRulesL","RULES","pravidla"
"RulesTabRulesR","RULES","pravidla"
"RulesUpgrade0","TOGGLE INSPECT","TOGGLE INSPECT"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","TOGGLE STAMP BAR"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","RULEBOOK SHORTCUTS"
"RulesUpgrade3","QUICK INSPECT","QUICK INSPECT"
"RulesUpgrade3","DOUBLE-CLICK","DOUBLE-CLICK"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzký Ministr Administraci"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","NÁHRADA ZABAVENÉHO PASU"
"SeizureSlipInner","ENTRY VISA","ENTRY VISA"
"SeizureSlipInner","Your passport has been seized.","Vás pas by zabaven."
"SeizureSlipInner","Contact 1509-6103 for redress.","Kontaktujte 1509-6103 pro náhradu."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Pareni Maleho Kolechianskeho Vodniho Ptatstva"
"SpyDocsInnerBack","A FULL REPORT","PLNA ZPRAVA"
"SpyDocsInnerBack","Ministry of Information","Ministr Informaci"
"TranscriptInner","AUDIO TRANSCRIPT","Historie rozhovoru"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Certifikat<span></span><br>Ockovani"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","Datum"
"VaccineCertInner","VACCINE","Vakcina"
"VaccineCertInner","Vax valid for 3 years","Vak. plati na 3 roky"
"VisaSlipInner","TEMPORARY VISA SLIP","DOCASNE VIZUM"
"VisaSlipInner","ENTRY VISA","VLOZTE VÍZUM"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","URCENA POUZE PRO ZAMITNUTÍ"
"WorkPermitInner","Ministry of Labor","Ministr Práce"
"WorkPermitInner","Work Pass","Pracovni pas"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Tento pas zarucuje drziteli právo pracovat na specifickém míste na omezenou dobu."
"WorkPermitInner","HOLDER","DRZITEL"
"WorkPermitInner","FIELD","OBOR"
"WorkPermitInner","UNTIL","DO"
"WorkPermitInner","Keep this pass with you at all times.","Mejte tento pas vzdy u sebe."
"EndNews","Kolechian Consensus Reached Over Grestin","Kolechiansky souhlas se dostal do Grestinu"
"ApartmentClass","CLASS","TRIDA"
"DetainButton","DETAIN","ZADRZET"
"FingerprintButton","FINGERPRINT","OTISKY PRSTU"
"SearchButton","SEARCH","prohledat"
"EmblemsMOA","M.O.A","M.O.A"
"EmblemsMOA","M.O.L","M.O.L"
"EmblemsMOL","M.O.L","M.O.L"
"Filer","CONFISCATED DOCUMENTS","ZABAVENE DOKUMENTY"
"Filer","PROPERTY OF","MAJETEK"
"Filer","M.O.A.","M.O.A."
"GiveIcon","GIVE","Vratit"
"LoadButtonNew","NEW","NOVY"
"LoadDay","DAY","DEN"
"LoadDrag","DRAG TO SCROLL","POSOUVANIM"
"News","The Truth of Arstotzka","Pravda o Arstotzka"
"News","No Charge","Nelze vrátit"
"ReasonButton","REASON","DUVOD"
"RifleKill","KILL","K ZABITI"
"RifleTranq","TRANQ","K USPANI"
"StampBarMid","ALIGN VISA BENEATH STAMP","SROVNAT VIZUM POD RAZITKO"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","POVES NA ZED"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","East Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","PRO NADRZENE PRASATA :)"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","RAZITKO ZDE"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","poveZ na zeT"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","Predpoved pocasi"
"news:RANDOM_SPORTS","Sports","Sport"
"news:RANDOM_ENTERTAINMENT","Entertainment","Zabava"
"news:RANDOM_POLITICS","Politics","Politika"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestincke Hranice Konecne Otevreny!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Po 6 dlouhych letech.Muze Ministerstvo Administrativy slibit bezpecnost?"
"news:FIRST_DAY","Families To Reunite","Rodini se setkavaji"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestin Checkpoint a Success!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Entry Restrictions To Relax, Admit Foreigners"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analysts Upbeat"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Increased Trade And Cooperation Predicted"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Teroristicky utok At Grestin!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Kolechian Agitators Suspected."
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Checkpoint Lockdown"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","More Guards - More Scrutiny"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Blackmarket Activity Explodes"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Government Blames Lax Immigration Controls"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Checkpoint Expansion Postponed"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Jobs Few, Becoming Fewer"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Immigrants Taking Jobs From Locals"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Kolechian Leader Files Complaint"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Claims Unprovoked Border Searches Violate Rights"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Another Attack At Grestin Checkpoint!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Suicide Bomber Slips Through Security"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestin Suffers Another Border Attack"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Suicide Bombings Becoming Routine"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Human Trafficking Ring Shut Down!"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Grestin Checkpoint Officer Nabs Mastermind"
